                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.56277,                0.27782,                 1.0307,                0.99547,                0.99554,                0.99457,                0.86237,                0.70244,                0.29142,                 1.0882,              0.0008648,              0.0008648,              0.0008648
                     88,                0.55274,                0.27523,                 1.0299,                0.99001,                0.99584,                0.99457,                0.85638,                0.70866,                0.31005,                 1.0877,              0.0008516,              0.0008516,              0.0008516
                     89,                0.56061,                0.27485,                 1.0378,                0.99273,                0.99665,                0.99386,                0.85647,                0.71971,                0.29978,                 1.0976,              0.0008384,              0.0008384,              0.0008384
                     90,                0.56695,                0.27933,                 1.0345,                 0.9949,                0.99498,                 0.9945,                0.85376,                0.72769,                0.32361,                 1.1125,              0.0008252,              0.0008252,              0.0008252
                     91,                0.57474,                0.28261,                 1.0385,                0.99428,                0.99386,                0.99474,                0.86131,                0.70643,                0.29507,                 1.0851,               0.000812,               0.000812,               0.000812
                     92,                0.55583,                0.27436,                 1.0269,                0.99203,                0.99609,                0.99465,                0.86936,                0.69688,                0.29361,                 1.0801,              0.0007988,              0.0007988,              0.0007988
                     93,                0.55596,                0.27557,                 1.0311,                0.99501,                 0.9933,                0.99479,                0.85327,                0.72125,                0.29797,                 1.0899,              0.0007856,              0.0007856,              0.0007856
                     94,                0.55062,                0.27052,                 1.0276,                0.99553,                0.99449,                0.99476,                0.85502,                0.70359,                0.29601,                  1.084,              0.0007724,              0.0007724,              0.0007724
                     95,                0.56018,                0.27415,                 1.0259,                0.99482,                0.99665,                0.99492,                 0.8664,                0.69607,                0.28925,                  1.079,              0.0007592,              0.0007592,              0.0007592
                     96,                0.55769,                 0.2745,                 1.0292,                0.99239,                0.99721,                0.99474,                0.85673,                 0.7083,                0.29989,                 1.0912,               0.000746,               0.000746,               0.000746
                     97,                0.55434,                0.27212,                 1.0265,                0.99547,                0.99554,                0.99483,                0.85198,                0.71688,                0.30441,                 1.0963,              0.0007328,              0.0007328,              0.0007328
                     98,                0.54007,                 0.2653,                 1.0241,                0.99465,                 0.9933,                0.99461,                0.86514,                0.69632,                0.28816,                 1.0778,              0.0007196,              0.0007196,              0.0007196
                     99,                 0.5544,                0.27435,                 1.0293,                 0.9972,                0.99465,                0.99481,                0.86023,                0.69824,                0.29239,                 1.0876,              0.0007064,              0.0007064,              0.0007064
                    100,                0.55612,                0.27317,                  1.028,                0.99231,                0.99609,                0.99467,                 0.8655,                0.69196,                0.29024,                 1.0756,              0.0006932,              0.0006932,              0.0006932
                    101,                0.55673,                0.26977,                 1.0304,                0.99446,                0.99554,                0.99478,                0.86156,                0.68901,                0.28688,                  1.076,                0.00068,                0.00068,                0.00068
                    102,                0.54706,                0.26736,                 1.0252,                0.99452,                0.99665,                0.99479,                0.87193,                 0.6819,                0.29245,                 1.0741,              0.0006668,              0.0006668,              0.0006668
                    103,                 0.5527,                0.27241,                 1.0283,                0.99657,                0.99777,                0.99495,                0.87538,                0.67855,                 0.2863,                 1.0698,              0.0006536,              0.0006536,              0.0006536
                    104,                0.54985,                0.26769,                 1.0322,                0.99388,                0.99613,                0.99476,                0.85894,                0.69902,                0.29825,                 1.0789,              0.0006404,              0.0006404,              0.0006404
                    105,                0.55837,                0.29249,                 1.0248,                0.99648,                0.99777,                0.99484,                0.86875,                0.68789,                0.29065,                 1.0731,              0.0006272,              0.0006272,              0.0006272
